Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
435,Dino Philyaw,NOR,RB,29,13,0,0,0,0,0,0,4,16,4.00,0,5,2,23,11.50,0,1,,0,,,4,5.9,5.9,4.9,,138,
436,Paul Shields,IND,RB,23,13,3,0,0,0,0,0,0,0,,0,7,4,37,9.25,0,0,,0,,,4,7.7,7.7,5.7,,140,
437,Matt Cushing,PIT,TE,24,7,1,0,0,0,0,0,0,0,,0,6,2,29,14.50,0,0,,0,,,3,4.9,4.9,3.9,,81,
438,Chris Floyd,NWE,RB,24,13,0,0,0,0,0,0,6,12,2.00,0,5,2,16,8.00,0,0,,0,,,3,4.8,4.8,3.8,,142,
439,Joe Germaine,STL,QB,24,3,0,9,16,136,1,2,3,0,0.00,0,0,0,0,,0,1,1,0,,,3,3.4,6.4,5.4,,67,
440,Lamont Hall,GNB,TE,25,14,0,0,0,0,0,0,0,0,,0,3,3,33,11.00,0,0,,0,,,3,6.3,6.3,4.8,,79,
441,Sheldon Jackson,BUF,TE,23,13,4,0,0,0,0,0,0,0,,0,8,4,34,8.50,0,0,,0,,,3,7.4,7.4,5.4,,78,
442,James Jenkins,WAS,TE,32,16,4,0,0,0,0,0,0,0,,0,4,1,30,30.00,0,0,,0,,,3,4.0,4.0,3.5,,80,
443,Mike Lucky,DAL,TE,24,14,4,0,0,0,0,0,0,0,,0,5,5,25,5.00,0,0,,0,,,3,7.5,7.5,5.0,,82,
444,Cecil Martin,PHI,RB,24,12,5,0,0,0,0,0,3,3,1.00,0,16,11,22,2.00,0,0,,0,,,3,13.5,13.5,8.0,,143,
445,Moses Moreno,SDG,QB,24,1,0,5,7,78,0,0,0,0,,0,0,0,0,,0,0,,0,,,3,3.1,3.1,3.1,,68,
446,Yo Murphy,2TM,WR,26,8,0,0,0,0,0,0,0,0,,0,8,4,28,7.00,0,1,,0,,,3,6.8,6.8,4.8,,153,
447,A.J. Ofodile,BAL,TE,26,7,3,0,0,0,0,0,0,0,,0,9,4,25,6.25,0,0,,0,,,3,6.5,6.5,4.5,,83,
448,Brock Olivo,DET,RB,23,14,0,0,0,0,0,0,1,1,1.00,0,8,4,24,6.00,0,0,,0,,,3,6.5,6.5,4.5,,144,
449,Ronnie Powell,CLE,WR,25,14,0,0,0,0,0,0,1,-14,-14.00,0,1,1,45,45.00,0,3,,0,,,3,4.1,4.1,3.6,,152,
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
450,Detron Smith*,DEN,RB,25,16,0,0,0,0,0,0,1,7,7.00,0,5,4,23,5.75,0,0,,0,,,3,7.0,7.0,5.0,,141,
451,Dwight Stone,NYJ,WR,35,16,0,0,0,0,0,0,2,27,13.50,0,3,0,0,,0,3,,0,,,3,2.7,2.7,2.7,,154,
452,Tai Streets,SFO,WR,22,2,0,0,0,0,0,0,0,0,,0,3,2,25,12.50,0,0,,0,,,3,4.5,4.5,3.5,,155,
453,Rabih Abdullah,TAM,RB,24,15,1,0,0,0,0,0,5,12,2.40,0,3,2,11,5.50,0,0,,0,,,2,4.3,4.3,3.3,,145,
454,D'Wayne Bates,CHI,WR,24,7,1,0,0,0,0,0,0,0,,0,7,2,19,9.50,0,0,,0,,,2,3.9,3.9,2.9,,160,
455,Pete Chryplewicz,DET,TE,25,11,1,0,0,0,0,0,0,0,,0,2,2,18,9.00,0,0,,0,,,2,3.8,3.8,2.8,,84,
456,Chris Doering,DEN,WR,26,3,0,0,0,0,0,0,0,0,,0,5,3,22,7.33,0,0,,0,,,2,5.2,5.2,3.7,,157,
457,Brian Finneran,PHI,WR,23,3,0,0,0,0,0,0,0,0,,0,4,2,21,10.50,0,0,,0,,,2,4.1,4.1,3.1,,159,
458,Ty Hallock,CHI,RB,28,15,4,0,0,0,0,0,0,0,,0,8,6,22,3.67,0,0,,0,,,2,8.2,8.2,5.2,,146,
459,Nate Jacquet,MIA,WR,24,13,0,0,0,0,0,0,1,4,4.00,0,5,1,18,18.00,0,1,,0,,,2,3.2,3.2,2.7,,158,
460,Malcolm Johnson,PIT,WR,22,6,0,0,0,0,0,0,0,0,,0,9,2,23,11.50,0,0,,0,,,2,4.3,4.3,3.3,,156,
461,George Jones,CLE,RB,26,6,0,0,0,0,0,0,8,15,1.88,0,0,0,0,,0,0,,0,,,2,1.5,1.5,1.5,,149,
462,Alfred Pupunu,SDG,TE,30,8,0,0,0,0,0,0,0,0,,0,5,4,17,4.25,0,0,,0,,,2,5.7,5.7,3.7,,85,
463,Eddie Watson,PHI,RB,23,6,0,0,0,0,0,0,4,17,4.25,0,0,0,0,,0,0,,0,,,2,1.7,1.7,1.7,,148,
464,Jermaine Williams,OAK,RB,26,15,0,0,0,0,0,0,0,0,,0,2,1,20,20.00,0,0,,0,,,2,3.0,3.0,2.5,,147,
465,James Bostic,PHI,RB,27,9,0,0,0,0,0,0,5,19,3.80,0,7,5,8,1.60,0,2,1,0,,,1,5.7,6.7,3.2,,151,
466,Desmond Clark,DEN,TE,22,9,0,0,0,0,0,0,0,0,,0,1,1,5,5.00,0,0,,0,,,1,1.5,1.5,1.0,,91,
467,Ernie Conwell,STL,TE,27,3,0,0,0,0,0,0,0,0,,0,3,1,11,11.00,0,0,,0,,,1,2.1,2.1,1.6,,86,
468,Scott Covington,CIN,QB,23,3,0,4,5,23,0,0,2,-4,-2.00,0,0,0,0,,0,0,,0,,,1,0.5,0.5,0.5,,72,
469,Keith Crawford,GNB,WR,29,3,0,0,0,0,0,0,0,0,,0,1,1,14,14.00,0,0,,0,,,1,2.4,2.4,1.9,,161,
470,Daunte Culpepper,MIN,QB,22,1,0,0,0,0,0,0,3,6,2.00,0,0,0,0,,0,1,,0,,,1,0.6,0.6,0.6,,70,
471,P.J. Franklin,NOR,WR,22,3,0,0,0,0,0,0,1,0,0.00,0,4,2,13,6.50,0,0,,0,,,1,3.3,3.3,2.3,,163,
472,Chris Hetherington,CAR,RB,27,14,0,0,0,0,0,0,2,7,3.50,0,0,0,0,,0,0,,0,,,1,0.7,0.7,0.7,,152,
473,James Hundon,CIN,WR,28,6,0,0,0,0,0,0,0,0,,0,2,1,5,5.00,0,0,,0,,,1,1.5,1.5,1.0,,166,
474,Mitch Jacoby,KAN,TE,26,5,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,0,,0,,,1,1.6,1.6,1.1,,89,
