,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
346,336,Peter Tom Willis,CHI,QB,24,4,0,11,18,171,1,1,2,6,3.00,0,0,0,,0,0,,0,,,9,9.4,10.4,10.4,,49,
347,337,Tom Hodson,NWE,QB,24,16,3,36,68,345,1,4,4,0,0.00,0,0,0,,0,2,,0,,,8,7.8,15.8,11.8,,51,
348,338,John Jackson,PHO,WR,24,16,3,0,0,0,0,0,0,0,,0,8,108,13.50,0,3,,0,,,8,15.8,20.3,11.8,,119,
349,339,Jeff Query,GNB,WR,24,16,0,0,0,0,0,0,0,0,,0,7,94,13.43,0,1,,0,,,8,15.4,15.9,11.9,,118,
350,340,Gary Wilkins,ATL,TE,28,5,3,0,0,0,0,0,0,0,,0,3,22,7.33,1,0,,1,,,8,11.2,11.2,9.7,,54,
351,341,Erik Affholter,GNB,WR,25,4,0,0,0,0,0,0,0,0,,0,7,68,9.71,0,0,,0,,,7,13.8,13.8,10.3,,122,
352,342,Cody Carlson,HOU,QB,28,3,0,7,12,114,1,0,4,-3,-0.75,0,0,0,,0,1,,0,,,7,7.3,7.8,7.3,,53,
353,343,Vince Evans,RAI,QB,36,4,0,6,14,127,1,2,8,20,2.50,0,0,0,,0,0,,0,,,7,7.1,9.1,9.1,,54,
354,344,Derek Loville,SEA,RB,23,16,0,0,0,0,0,0,22,69,3.14,0,0,0,,0,0,,0,,,7,6.9,6.9,6.9,,116,
355,345,Sammy Martin,2TM,WR,26,12,0,0,0,0,0,0,0,0,,0,5,79,15.80,0,1,,0,,,7,11.9,12.4,9.4,,121,
356,346,Mike Mularkey,PIT,TE,30,9,6,0,0,0,0,0,0,0,,0,6,67,11.17,0,0,,0,,,7,12.7,12.7,9.7,,55,
