rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
355,Willie Gault,RAI,WR,33,15,0,0,0,0,0,0,0,0,,0,13.0,8,64,8.0,0,0.0,,0,,,6.0,14.4,14.4,10.4,,122,
356,Randy Jordan,RAI,RB,23,10,2,0,0,0,0,0,12,33,2.75,0,5.0,4,42,10.5,0,2.0,,0,,,6.0,9.5,10.5,7.5,,120,
357,Mitch Lyons,ATL,TE,23,16,8,0,0,0,0,0,0,0,,0,12.0,8,63,7.88,0,0.0,,0,,,6.0,14.3,14.3,10.3,,56,
358,Patrick Robinson,CIN,WR,24,15,3,0,0,0,0,0,1,6,6.0,0,18.0,8,72,9.0,0,2.0,,0,,,6.0,13.8,14.8,9.8,,124,
359,Rico Smith,CLE,WR,24,10,1,0,0,0,0,0,0,0,,0,11.0,4,55,13.75,0,0.0,,0,,,6.0,9.5,9.5,7.5,,126,
360,Ernie Thompson,KAN,RB,24,16,2,0,0,0,0,0,11,28,2.55,0,5.0,4,33,8.25,0,0.0,,0,,,6.0,10.1,10.1,8.1,,119,
361,Fred Banks,2TM,WR,31,10,0,0,0,0,0,0,0,0,,0,7.0,2,45,22.5,0,0.0,,0,,,5.0,6.5,6.5,5.5,,129,
362,Charles Davenport,PIT,WR,25,16,0,0,0,0,0,0,0,0,,0,10.0,4,51,12.75,0,0.0,,0,,,5.0,9.1,9.1,7.1,,128,
363,Dan McGwire,SEA,QB,26,2,0,3,5,24,1,0,1,-1,-1.0,0,,0,0,,0,0.0,,0,,,5.0,4.9,4.9,4.9,,56,
364,Odessa Turner,SFO,WR,29,7,0,0,0,0,0,0,0,0,,0,7.0,3,64,21.33,0,1.0,,0,,,5.0,8.4,8.9,6.9,,127,
365,Derek Ware,PHO,TE,26,16,1,0,0,0,0,0,0,0,,0,12.0,3,45,15.0,0,0.0,,0,,,5.0,7.5,7.5,6.0,,60,
366,Danta Whitaker,CHI,TE,29,5,4,0,0,0,0,0,0,0,,0,9.0,6,53,8.83,0,0.0,,0,,,5.0,11.3,11.3,8.3,,59,
367,Robert Claiborne,TAM,WR,26,5,0,0,0,0,0,0,0,0,,0,12.0,5,61,12.2,0,2.0,,0,,,4.0,9.1,10.1,6.6,,131,
368,David Frisch,CIN,TE,23,11,2,0,0,0,0,0,0,0,,0,9.0,6,43,7.17,0,0.0,,0,,,4.0,10.3,10.3,7.3,,61,
369,Eric Guliford,MIN,WR,24,10,0,0,0,0,0,0,0,0,,0,4.0,1,45,45.0,0,1.0,,0,,,4.0,4.5,5.0,4.0,,133,
370,Andre Hastings,PIT,WR,23,6,0,0,0,0,0,0,0,0,,0,6.0,3,44,14.67,0,0.0,,0,,,4.0,7.4,7.4,5.9,,130,
371,Darren Lewis,CHI,RB,25,2,1,0,0,0,0,0,7,13,1.86,0,5.0,4,26,6.5,0,0.0,,0,,,4.0,7.9,7.9,5.9,,121,
372,Tommy Maddox,DEN,QB,22,16,0,1,1,1,1,0,2,-2,-1.0,0,,0,0,,0,0.0,,0,,,4.0,3.8,3.8,3.8,,57,
373,Olanda Truitt,MIN,WR,22,8,0,0,0,0,0,0,0,0,,0,7.0,4,40,10.0,0,0.0,,0,,,4.0,8.0,8.0,6.0,,132,
374,Nate Turner,BUF,TE,24,13,0,0,0,0,0,0,11,36,3.27,0,1.0,0,0,,0,0.0,,0,,,4.0,3.6,3.6,3.6,,62,
