,rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
192,193,James Jones,SEA,RB,30,16,6,0,0,0,0,0,45,154,3.42,3,10,103,10.3,0,2.0,,3,,,42.0,51.7,58.7,46.7,,70,
193,194,Mike Sherrard,SFO,WR,28,16,0,0,0,0,0,0,0,0,,0,24,296,12.33,2,0.0,,2,,,42.0,65.6,68.6,53.6,,75,
194,195,Sammie Smith,MIA,RB,24,12,6,0,0,0,0,0,83,297,3.58,1,14,95,6.79,0,3.0,,1,,,42.0,56.2,60.7,49.2,,68,
195,196,Cleveland Gary,RAM,RB,25,10,2,0,0,0,0,0,68,245,3.6,1,13,110,8.46,0,1.0,,1,,,41.0,53.5,60.0,47.0,,72,
196,197,Mark Green,CHI,RB,24,16,4,0,0,0,0,0,61,217,3.56,3,6,54,9.0,0,4.0,,3,,,41.0,47.1,52.1,44.1,,71,
197,198,Johnny Hector,NYJ,RB,31,14,1,0,0,0,0,0,62,345,5.56,0,7,51,7.29,0,0.0,,0,,,40.0,46.6,49.6,43.1,,76,
198,199,Brent Jones,SFO,TE,28,10,9,0,0,0,0,0,0,0,,0,27,417,15.44,0,2.0,,0,,,40.0,66.7,70.7,53.2,,14,
199,200,Buford Jordan,NOR,RB,29,14,6,0,0,0,0,0,47,150,3.19,2,15,92,6.13,1,2.0,,3,,,40.0,55.2,59.2,47.7,,73,
200,201,Erric Pegram,ATL,RB,22,16,7,0,0,0,0,0,101,349,3.46,1,1,-1,-1.0,0,1.0,,1,,,40.0,40.8,44.3,40.3,,75,
201,202,Shannon Sharpe,DEN,TE,23,16,9,0,0,0,0,0,1,15,15.0,0,22,322,14.64,1,0.0,,1,,,40.0,61.7,64.7,50.7,,15,
202,203,John Stephens,NWE,RB,25,14,3,0,0,0,0,0,63,163,2.59,2,16,119,7.44,0,0.0,,2,,,40.0,56.2,62.2,48.2,,74,
203,204,Chris Chandler,2TM,QB,26,9,5,78,154,846,5,10,26,111,4.27,0,0,0,,0,6.0,,0,,,39.0,38.9,57.9,48.9,,37,
204,205,Howard Cross,NYG,TE,24,16,16,0,0,0,0,0,0,0,,0,20,283,14.15,2,1.0,,2,,,39.0,59.3,62.8,49.3,,16,
205,206,Alvin Harper,DAL,WR,23,15,5,0,0,0,0,0,0,0,,0,20,326,16.3,1,0.0,,1,,,39.0,58.6,61.6,48.6,,79,
206,207,Michael Jackson,CLE,WR,22,16,7,0,0,0,0,0,0,0,,0,17,268,15.76,2,0.0,,2,,,39.0,55.8,58.8,47.3,,76,
207,208,Eric Metcalf,CLE,RB,23,8,3,0,0,0,0,0,30,107,3.57,0,29,294,10.14,0,1.0,,0,,,39.0,68.1,74.6,53.6,,77,
208,209,Ricky Nattiel,DEN,WR,25,16,0,0,0,0,0,0,0,0,,0,16,288,18.0,2,2.0,,2,,,39.0,54.8,58.8,46.8,,77,
209,210,Craig Taylor,CIN,RB,25,12,3,0,0,0,0,0,33,153,4.64,2,21,122,5.81,0,1.0,,2,,,39.0,59.5,66.0,49.0,,79,
210,211,Charles Wilson,GNB,WR,23,15,2,0,0,0,0,0,3,3,1.0,0,19,305,16.05,1,4.0,,2,,,39.0,57.8,62.8,48.3,,78,
211,212,Robert Wilson,TAM,RB,22,16,15,0,0,0,0,0,42,179,4.26,0,20,121,6.05,2,3.0,,2,,,39.0,59.0,66.5,49.0,,78,
212,213,Brian Brennan,CLE,WR,29,15,3,0,0,0,0,0,0,0,,0,31,325,10.48,1,1.0,,1,,,38.0,68.5,72.0,53.0,,82,
213,214,Vance Johnson,DEN,WR,28,10,0,0,0,0,0,0,0,0,,0,21,208,9.9,3,1.0,,3,,,38.0,58.8,62.3,48.3,,80,
214,215,Derek Russell,DEN,WR,22,13,5,0,0,0,0,0,0,0,,0,21,317,15.1,1,0.0,,1,,,38.0,58.7,61.7,48.2,,81,
215,216,Carwell Gardner,BUF,RB,25,16,5,0,0,0,0,0,42,146,3.48,4,3,20,6.67,0,4.0,,4,,,37.0,39.6,44.6,38.1,,80,
216,217,Damone Johnson,RAM,TE,29,16,16,0,0,0,0,0,0,0,,0,32,253,7.91,2,0.0,,2,,,37.0,69.3,72.3,53.3,,17,
217,218,Terance Mathis,NYJ,WR,24,16,1,0,0,0,0,0,1,19,19.0,0,28,329,11.75,1,4.0,,1,,,37.0,64.8,69.8,50.8,,83,
218,219,Roy Green,PHI,WR,34,13,3,0,0,0,0,0,0,0,,0,29,364,12.55,0,0.0,,0,,,36.0,65.4,68.4,50.9,,84,
219,220,Daryl Johnston,DAL,RB,25,16,14,0,0,0,0,0,17,54,3.18,0,28,244,8.71,1,0.0,,1,,,36.0,63.8,66.8,49.8,,81,
220,221,Tony Jones,HOU,WR,26,16,0,0,0,0,0,0,0,0,,0,19,251,13.21,2,1.0,,2,,,36.0,55.1,58.6,45.6,,85,
221,222,Mike Rozier,ATL,RB,30,11,0,0,0,0,0,0,96,361,3.76,0,2,15,7.5,0,2.0,,0,,,36.0,37.6,41.6,36.6,,83,
222,223,Lewis Tillman,NYG,RB,25,16,1,0,0,0,0,0,65,287,4.42,1,5,30,6.0,0,2.0,,1,,,36.0,40.7,44.7,38.2,,82,
223,224,Odessa Turner,NYG,WR,27,16,3,0,0,0,0,0,0,0,,0,21,356,16.95,0,0.0,,0,,,36.0,56.6,59.6,46.1,,86,
224,225,Louis Clark,SEA,WR,27,16,0,0,0,0,0,0,0,0,,0,21,228,10.86,2,0.0,,2,,,35.0,55.8,58.8,45.3,,87,
225,226,Al Edwards,BUF,WR,24,16,5,0,0,0,0,0,1,17,17.0,0,22,228,10.36,1,2.0,,2,,,35.0,56.5,60.5,45.5,,88,
226,227,Ickey Woods,CIN,RB,25,9,2,0,0,0,0,0,36,97,2.69,4,6,36,6.0,0,2.0,,4,,,35.0,41.3,42.3,38.3,,84,
227,228,Anthony Morgan,CHI,WR,24,14,2,0,0,0,0,0,3,18,6.0,0,13,211,16.23,2,1.0,,2,,,34.0,46.9,50.4,40.4,,89,
228,229,Scott Galbraith,CLE,TE,24,16,13,0,0,0,0,0,0,0,,0,27,328,12.15,0,0.0,,0,,,33.0,59.8,62.8,46.3,,19,
229,230,Frank Reich,BUF,QB,30,16,1,27,41,305,6,2,13,6,0.46,0,0,0,,0,0.0,,0,,,33.0,32.8,37.8,34.8,,38,
