,rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
149,150,Arthur Marshall,DEN,WR,23,16,1,1,1,81,1,0,11,56,5.09,0,45.0,26,493,18.96,1,3.0,,1,,,65.0,91.1,95.6,78.1,,57,
150,151,Kelvin Martin,DAL,WR,27,16,1,0,0,0,0,0,2,13,6.5,0,47.0,32,359,11.22,3,2.0,,5,,,65.0,97.2,101.2,81.2,,56,
151,152,Tony Martin,MIA,WR,27,16,3,0,1,0,0,0,1,-2,-2.0,0,65.0,33,553,16.76,2,2.0,,2,,,65.0,98.1,102.1,81.6,,58,
152,153,Hugh Millen,NWE,QB,29,7,7,124,203,1203,8,10,17,108,6.35,0,1.0,0,0,,0,8.0,,0,,,63.0,62.9,82.9,72.9,,30,
153,154,John Taylor,SFO,WR,30,9,8,0,0,0,0,0,1,10,10.0,0,35.0,25,428,17.12,3,0.0,,3,,,62.0,86.8,89.8,74.3,,59,
154,155,Todd McNair,KAN,RB,27,16,0,0,0,0,0,0,21,124,5.9,1,62.0,44,380,8.64,1,1.0,,2,,,61.0,105.4,111.9,83.4,,53,
155,156,Sean Salisbury,MIN,QB,29,10,4,97,175,1203,5,2,11,0,0.0,0,,0,0,,0,4.0,,0,,,60.0,60.1,67.1,62.1,,31,
156,157,Jon Vaughn,NWE,RB,22,16,5,0,0,0,0,0,113,451,3.99,1,21.0,13,84,6.46,0,6.0,,2,,,60.0,72.5,78.5,66.0,,54,
157,158,Tim McGee,CIN,WR,28,16,16,0,0,0,0,0,0,0,,0,90.0,35,408,11.66,3,0.0,,3,,,59.0,93.8,96.8,76.3,,60,
158,159,Leroy Hoard,CLE,RB,24,16,9,0,0,0,0,0,54,236,4.37,0,48.0,26,310,11.92,1,3.0,,1,,,58.0,83.6,91.1,70.6,,55,
159,160,Nick Bell,RAI,RB,24,16,1,0,0,0,0,0,81,366,4.52,3,6.0,4,40,10.0,0,2.0,,3,,,57.0,60.6,64.6,58.6,,56,
160,161,Leonard Harris,HOU,WR,32,14,7,0,0,0,0,0,1,8,8.0,0,55.0,35,435,12.43,2,0.0,,2,,,56.0,91.3,94.3,73.8,,61,
161,162,Hassan Jones,MIN,WR,28,9,5,1,1,18,0,0,1,1,1.0,0,48.0,22,308,14.0,4,0.0,,4,,,56.0,77.6,80.6,66.6,,64,
162,163,Terance Mathis,NYJ,WR,25,16,1,0,0,0,0,0,3,25,8.33,1,41.0,22,316,14.36,3,2.0,,4,,,56.0,78.1,82.1,67.1,,63,
163,164,Ernie Mills,PIT,WR,24,16,5,0,0,0,0,0,1,20,20.0,0,50.0,30,383,12.77,3,2.0,,3,,,56.0,86.3,90.3,71.3,,62,
164,165,John Stephens,NWE,RB,26,16,16,0,0,0,0,0,75,277,3.69,2,33.0,21,161,7.67,0,0.0,,2,,,56.0,76.8,82.8,66.3,,57,
165,166,Steve Broussard,ATL,RB,25,15,1,0,0,0,0,0,84,363,4.32,1,16.0,11,96,8.73,1,3.0,,2,,,55.0,65.9,70.4,60.4,,58,
166,167,Tommy Kane,SEA,WR,28,11,11,0,0,0,0,0,0,0,,0,70.0,27,369,13.67,3,0.0,,3,,,55.0,81.9,84.9,68.4,,65,
167,168,Bill Brooks,IND,WR,28,14,10,0,0,0,0,0,2,14,7.0,0,81.0,44,468,10.64,1,0.0,,1,,,54.0,98.2,101.2,76.2,,66,
168,169,Darrell Thompson,GNB,RB,25,7,4,0,0,0,0,0,76,254,3.34,2,16.0,13,129,9.92,1,2.0,,3,,,54.0,67.3,74.3,60.8,,59,
169,170,Jeff Chadwick,RAM,WR,32,14,2,0,0,0,0,0,0,0,,0,61.0,29,362,12.48,3,1.0,,3,,,53.0,82.2,85.7,67.7,,67,
170,171,Stan Gelbaugh,SEA,QB,30,10,8,121,255,1307,6,11,16,79,4.94,0,,0,0,,0,9.0,,0,,,53.0,53.2,71.7,64.2,,32,
171,172,Dave Meggett,NYG,RB,26,16,0,0,0,0,0,0,32,167,5.22,0,65.0,38,229,6.03,2,5.0,,3,,,53.0,90.6,99.1,71.6,,60,
172,173,Greg Lewis,DEN,RB,23,16,2,0,1,0,0,0,73,268,3.67,4,4.0,4,30,7.5,0,2.0,,4,,,52.0,55.8,59.8,53.8,,62,
173,174,Tony Paige,MIA,RB,30,16,16,0,0,0,0,0,7,11,1.57,1,60.0,48,399,8.31,1,1.0,,2,,,52.0,100.0,103.5,76.0,,61,
174,175,Phil Simms,NYG,QB,37,4,4,83,137,912,5,3,6,17,2.83,0,,0,0,,0,0.0,,0,,,52.0,52.2,58.2,55.2,,33,
175,176,Gary Anderson,TAM,RB,31,15,4,0,0,0,0,0,55,194,3.53,1,54.0,34,284,8.35,0,3.0,,1,,,51.0,84.8,92.3,67.8,,63,
176,177,Anthony Morgan,CHI,WR,25,12,4,0,0,0,0,0,3,68,22.67,0,32.0,14,323,23.07,2,0.0,,2,,,51.0,65.1,68.1,58.1,,68,
177,178,Derrick Walker,SDG,TE,25,16,16,0,0,0,0,0,0,0,,0,62.0,34,393,11.56,2,0.0,,2,,,51.0,85.3,88.3,68.3,,13,
178,179,Fred Banks,MIA,WR,30,16,0,0,0,0,0,0,0,0,,0,36.0,22,319,14.5,3,0.0,,3,,,50.0,71.9,74.9,60.9,,70,
179,180,Marv Cook,NWE,TE,26,16,15,0,0,0,0,0,0,0,,0,75.0,52,413,7.94,2,3.0,,2,,,50.0,102.3,106.8,76.3,,14,
180,181,Shawn Jefferson,SDG,WR,23,16,1,0,0,0,0,0,0,0,,0,51.0,29,377,13.0,2,0.0,,2,,,50.0,78.7,81.7,64.2,,71,
181,182,Leonard Russell,NWE,RB,23,11,10,0,0,0,0,0,123,390,3.17,2,14.0,11,24,2.18,0,3.0,,2,,,50.0,61.4,65.9,55.9,,64,
182,183,Lawyer Tillman,CLE,WR,26,11,9,0,0,0,0,0,2,15,7.5,0,54.0,25,498,19.92,0,1.0,,0,,,50.0,75.3,78.8,62.8,,69,
183,184,Tommy Vardell,CLE,RB,23,14,10,0,0,0,0,0,99,369,3.73,0,13.0,13,128,9.85,0,0.0,,0,,,50.0,62.7,68.7,56.2,,65,
184,185,Greg McMurtry,NWE,WR,25,16,15,0,1,0,0,0,2,3,1.5,0,66.0,35,424,12.11,1,0.0,,1,,,49.0,83.7,86.7,66.2,,72,
185,186,Leroy Thompson,PIT,RB,23,15,2,0,0,0,0,0,35,157,4.49,1,29.0,22,278,12.64,0,2.0,,1,,,48.0,69.5,76.5,58.5,,66,
186,187,Jack Trudeau,IND,QB,30,11,5,105,181,1271,4,8,13,6,0.46,0,,0,0,,0,3.0,,0,,,48.0,48.4,60.9,56.4,,34,
187,188,Mark Ingram,NYG,WR,27,12,12,0,0,0,0,0,0,0,,0,56.0,27,408,15.11,1,0.0,,1,,,47.0,73.8,76.8,60.3,,73,
188,189,Blair Thomas,NYJ,RB,25,9,7,0,0,0,0,0,97,440,4.54,0,10.0,7,49,7.0,0,2.0,,0,,,47.0,53.9,57.9,50.4,,67,
189,190,Howard Cross,NYG,TE,25,16,16,0,0,0,0,0,0,0,,0,41.0,27,357,13.22,2,2.0,,2,,,46.0,72.7,76.7,59.2,,15,
190,191,Torrance Small,NOR,WR,22,13,2,0,0,0,0,0,0,0,,0,46.0,23,278,12.09,3,0.0,,3,,,46.0,68.8,71.8,57.3,,74,
191,192,Stephen Baker,NYG,WR,28,16,11,0,0,0,0,0,0,0,,0,59.0,17,333,19.59,2,0.0,,2,,,45.0,62.3,65.3,53.8,,75,
192,193,Eric Bieniemy,SDG,RB,23,15,0,0,0,0,0,0,74,264,3.57,3,7.0,5,49,9.8,0,4.0,,3,,,45.0,50.3,55.3,47.8,,68,
193,194,Todd Marinovich,RAI,QB,23,7,7,81,165,1102,5,9,9,30,3.33,0,,0,0,,0,4.0,,0,,,45.0,45.1,59.1,54.1,,35,
194,195,Anthony McDowell,TAM,RB,24,12,8,0,0,0,0,0,14,81,5.79,0,37.0,27,258,9.56,2,1.0,,2,,,45.0,71.9,75.4,58.4,,69,
195,196,Jeff Query,CIN,WR,25,10,2,0,0,0,0,0,1,1,1.0,0,36.0,16,265,16.56,3,0.0,,3,,,45.0,60.6,63.6,52.6,,76,
196,197,Mark Bavaro,CLE,TE,29,16,16,0,0,0,0,0,0,0,,0,35.0,25,315,12.6,2,0.0,,2,,,44.0,68.5,71.5,56.0,,16,
197,198,Courtney Hawkins,TAM,WR,23,16,5,0,0,0,0,0,0,0,,0,36.0,20,336,16.8,2,2.0,,2,,,44.0,63.6,67.6,53.6,,77,
198,199,Daryl Johnston,DAL,RB,26,16,16,0,0,0,0,0,17,61,3.59,0,38.0,32,249,7.78,2,0.0,,2,,,43.0,75.0,78.0,59.0,,70,
199,200,Al Toon,NYJ,WR,29,9,8,0,0,0,0,0,0,0,,0,57.0,31,311,10.03,2,0.0,,2,,,43.0,74.1,77.1,58.6,,78,
200,201,Carl Pickens,CIN,WR,22,16,10,0,0,0,0,0,0,0,,0,56.0,26,326,12.54,1,3.0,,2,,,42.0,67.6,72.1,54.6,,79,
201,202,Jim Price,RAM,TE,26,15,3,0,0,0,0,0,0,0,,0,57.0,34,324,9.53,2,2.0,,2,,,42.0,76.4,80.4,59.4,,17,
202,203,Tony Smith,ATL,RB,22,14,6,0,0,0,0,0,87,329,3.78,2,3.0,2,14,7.0,0,4.0,,2,,,42.0,44.3,49.3,43.3,,71,
203,204,Pat Carter,RAM,TE,26,16,16,0,0,0,0,0,0,0,,0,35.0,20,232,11.6,3,0.0,,3,,,41.0,61.2,64.2,51.2,,18,
204,205,Merril Hoge,PIT,RB,27,16,11,0,0,0,0,0,41,150,3.66,0,42.0,28,231,8.25,1,3.0,,1,,,41.0,69.1,76.6,55.1,,72,
205,206,Steve Smith,RAI,RB,28,16,15,0,0,0,0,0,44,129,2.93,0,41.0,28,217,7.75,1,0.0,,1,,,41.0,68.6,74.6,54.6,,73,
206,207,Chris Calloway,NYG,WR,24,16,1,0,0,0,0,0,0,0,,0,49.0,27,335,12.41,1,0.0,,1,,,40.0,66.5,69.5,53.0,,82,
207,208,Wesley Carroll,NOR,WR,25,16,5,0,0,0,0,0,0,0,,0,39.0,18,292,16.22,2,1.0,,2,,,40.0,58.2,61.7,49.2,,81,
208,209,Vance Johnson,DEN,WR,29,11,7,0,0,0,0,0,0,0,,0,47.0,24,294,12.25,2,1.0,,2,,,40.0,64.4,67.9,52.4,,80,
209,210,Rodney Holman,CIN,TE,32,16,13,0,0,0,0,0,0,0,,0,37.0,26,266,10.23,2,0.0,,2,,,39.0,64.6,67.6,51.6,,19,
210,211,Michael Timpson,NWE,WR,25,16,2,0,0,0,0,0,0,0,,0,54.0,26,315,12.12,1,0.0,,1,,,38.0,63.5,66.5,50.5,,83,
211,212,Billy Joe Tolliver,ATL,QB,26,9,5,73,131,787,5,5,4,15,3.75,0,,0,0,,0,5.0,,0,,,38.0,38.0,48.5,43.0,,36,
212,213,Ivory Lee Brown,PHO,RB,23,7,5,0,0,0,0,0,68,194,2.85,2,7.0,7,54,7.71,0,0.0,,2,,,37.0,43.8,46.8,40.3,,74,
213,214,Adrian Cooper,PIT,TE,24,16,15,0,0,0,0,0,0,0,,0,31.0,16,197,12.31,3,1.0,,3,,,37.0,52.7,56.2,44.7,,20,
214,215,Andre Ware,DET,QB,24,4,3,50,86,677,3,4,20,124,6.2,0,,0,0,,0,6.0,,0,,,37.0,37.5,50.5,41.5,,37,
215,216,Willie Drewrey,TAM,WR,29,9,2,0,0,0,0,0,0,0,,0,26.0,16,237,14.81,2,0.0,,2,,,36.0,51.7,54.7,43.7,,84,
216,217,Eric Ball,CIN,RB,26,16,14,0,0,0,0,0,16,55,3.44,2,17.0,6,66,11.0,2,1.0,,4,,,35.0,41.1,41.6,38.1,,77,
217,218,Louis Clark,SEA,WR,28,10,9,0,0,0,0,0,0,0,,0,57.0,20,290,14.5,1,0.0,,1,,,35.0,55.0,58.0,45.0,,85,
218,219,Carwell Gardner,BUF,RB,26,16,7,0,0,0,0,0,40,166,4.15,2,9.0,7,67,9.57,0,0.0,,2,,,35.0,42.3,45.3,38.8,,75,
219,220,Keith Jones,ATL,RB,26,16,8,0,1,0,0,0,79,278,3.52,0,14.0,12,94,7.83,0,2.0,,0,,,35.0,47.2,51.2,41.2,,76,
220,221,Ben Coates,NWE,TE,23,16,2,0,0,0,0,0,1,2,2.0,0,34.0,20,171,8.55,3,1.0,,3,,,34.0,54.3,57.8,44.3,,21,
221,222,Ken O'Brien,NYJ,QB,32,10,3,55,98,642,5,6,8,8,1.0,0,,0,0,,0,0.0,,0,,,34.0,34.5,43.5,40.5,,38,
