player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj,year
Philip Rivers,SDG,QB,35,16,16,349,578,4386,33,21,14,35,2.5,0,0,0,0,0.0,0,9.0,5,0,0.0,0.0,259.0,258.9,35.0,349.0,578.0,4386.0,33.0,21.0,14.0,35.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,259.0,258.9,2016
Jameis Winston,TAM,QB,22,16,16,345,567,4090,28,18,53,165,3.11,1,0,0,0,0.0,0,10.0,6,1,0.0,3.0,256.0,256.1,22.0,345.0,567.0,4090.0,28.0,18.0,53.0,165.0,3.11,1.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,0.0,3.0,256.0,256.1,2016
Cam Newton,CAR,QB,27,15,14,270,510,3509,19,14,90,359,3.99,5,0,0,0,0.0,0,3.0,2,5,1.0,1.0,254.0,254.3,27.8854800926934,278.854800926934,526.7257350842086,3624.0796164911535,19.623115620784244,14.459137825841022,92.951600308978,370.77360567692335,4.120854280364692,5.163977794943222,0.0,0.0,0.0,0.0,0.0,3.0983866769659336,2.065591117977289,5.163977794943222,1.0327955589886444,1.0327955589886444,262.3300719831157,262.6399106508123,2016
Ben Roethlisberger,PIT,QB,34,14,14,328,509,3819,29,13,16,14,0.88,1,0,0,0,0.0,0,8.0,2,1,0.0,3.0,252.0,252.2,36.34752890008971,350.6467493891008,544.1438885336961,4082.682731454195,31.00230406184123,13.897584579446068,17.10471948239516,14.966629547095765,0.9407595715317338,1.0690449676496976,0.0,0.0,0.0,0.0,0.0,8.55235974119758,2.138089935299395,1.0690449676496976,0.0,3.2071349029490928,269.3993318477238,269.6131408412537,2016
Carson Palmer,ARI,QB,37,15,15,364,597,4233,26,14,14,38,2.71,0,0,0,0,0.0,0,14.0,4,0,0.0,1.0,243.0,243.1,38.21343568257984,375.93758347186656,616.5789487162208,4371.823601198932,26.852684533704757,14.459137825841022,14.459137825841022,39.24623124156849,2.7988759648592265,0.0,0.0,0.0,0.0,0.0,0.0,14.459137825841022,4.131182235954578,0.0,0.0,1.0327955589886444,250.96932083424062,251.07260039013946,2016
Joe Flacco,BAL,QB,31,16,16,436,672,4317,20,15,21,58,2.76,2,0,0,0,0.0,0,5.0,3,2,0.0,4.0,242.0,242.5,31.0,436.0,672.0,4317.0,20.0,15.0,21.0,58.0,2.76,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,4.0,242.0,242.5,2016
Eli Manning,NYG,QB,35,16,16,377,598,4027,26,16,21,-9,-0.43,0,0,0,0,0.0,0,7.0,4,0,0.0,0.0,224.0,224.2,35.0,377.0,598.0,4027.0,26.0,16.0,21.0,-9.0,-0.43,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,224.0,224.2,2016
Alex Smith,KAN,QB,32,15,15,328,489,3502,15,8,48,134,2.79,5,1,1,3,3.0,0,7.0,4,5,0.0,2.0,224.0,224.8,33.04945788763662,338.7569433482754,505.03702834544714,3616.850047578233,15.491933384829666,8.262364471909155,49.57418683145494,138.39460490447837,2.8814996095783183,5.163977794943222,1.0327955589886444,1.0327955589886444,3.0983866769659336,3.0983866769659336,0.0,7.229568912920511,4.131182235954578,5.163977794943222,0.0,2.065591117977289,231.34620521345636,232.17244166064728,2016
Sam Bradford,MIN,QB,29,15,15,395,552,3877,20,5,20,53,2.65,0,1,1,5,5.0,0,10.0,5,0,0.0,0.0,221.0,221.9,29.95107121067069,407.95424580051457,570.1031485617317,4004.1483821989746,20.65591117977289,5.163977794943222,20.65591117977289,54.73816462639816,2.736908231319908,0.0,1.0327955589886444,1.0327955589886444,5.163977794943222,5.163977794943222,0.0,10.327955589886445,5.163977794943222,0.0,0.0,0.0,228.24781853649043,229.17733453958022,2016
Carson Wentz,PHI,QB,24,16,16,379,607,3782,16,14,46,150,3.26,2,1,1,7,7.0,0,14.0,3,2,1.0,1.0,213.0,214.0,24.0,379.0,607.0,3782.0,16.0,14.0,46.0,150.0,3.26,2.0,1.0,1.0,7.0,7.0,0.0,14.0,3.0,2.0,1.0,1.0,213.0,214.0,2016
