player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj
Marquise Brown,BAL,WR,24,16,16,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,146.0,91.0,1008.0,11.08,6.0,3.0,1.0,6,0.0,0.0,135.0,226.3,24.738633753705965,0.0,0.0,0.0,0.0,0.0,1.0307764064044151,5.153882032022076,5.153882032022076,0.0,150.4933553350446,93.80065298280178,1039.0226176556505,11.42100258296092,6.184658438426491,3.0923292192132457,1.0307764064044151,6.184658438426491,0.0,0.0,139.15481486459603,233.26470076931915
Amari Cooper,DAL,WR,27,15,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,68.0,865.0,12.72,8.0,1.0,0.0,8,0.0,0.0,135.0,202.5,28.743694960808362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.71645466385442,72.39152804944328,920.8628200407123,13.541474070425274,8.516650358758033,1.0645812948447542,0.0,8.516650358758033,0.0,0.0,143.71847480404182,215.5777122060627
Devin Singletary,BUF,RB,24,17,16,0.0,0.0,0.0,0.0,0.0,188.0,870.0,4.63,7.0,50.0,40.0,228.0,5.7,1.0,5.0,0.0,8,0.0,0.0,158.0,197.8,24.0,0.0,0.0,0.0,0.0,0.0,188.0,870.0,4.63,7.0,50.0,40.0,228.0,5.7,1.0,5.0,0.0,8.0,0.0,0.0,158.0,197.8
Adam Thielen,MIN,WR,31,13,13,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,95.0,67.0,726.0,10.84,10.0,1.0,0.0,10,0.0,0.0,133.0,199.8,35.449856243605666,0.0,0.0,0.0,0.0,0.0,1.1435437497937313,2.2870874995874626,2.2870874995874626,0.0,108.63665623040447,76.61743123618,830.2127623502489,12.396014247764047,11.435437497937313,1.1435437497937313,0.0,11.435437497937313,0.0,0.0,152.09131872256626,228.48004120878753
Christian Kirk,ARI,WR,25,17,11,1.0,1.0,33.0,0.0,0.0,1.0,11.0,11.0,0.0,103.0,77.0,982.0,12.75,5.0,0.0,0.0,5,0.0,0.0,131.0,207.6,25.0,1.0,1.0,33.0,0.0,0.0,1.0,11.0,11.0,0.0,103.0,77.0,982.0,12.75,5.0,0.0,0.0,5.0,0.0,0.0,131.0,207.6
David Montgomery,CHI,RB,24,13,13,0.0,1.0,0.0,0.0,1.0,225.0,849.0,3.77,7.0,51.0,42.0,301.0,7.17,0.0,1.0,1.0,7,0.0,0.0,153.0,195.0,27.44504999504955,0.0,1.1435437497937313,0.0,0.0,1.1435437497937313,257.29734370358955,970.8686435748779,4.311159936722367,8.004806248556118,58.320731239480295,48.02883749133671,344.2066686879131,8.199208686021054,0.0,1.1435437497937313,1.1435437497937313,8.004806248556118,0.0,0.0,174.9621937184409,222.9910312097776
AJ Dillon,GNB,RB,23,17,2,0.0,0.0,0.0,0.0,0.0,187.0,803.0,4.29,5.0,37.0,34.0,313.0,9.21,2.0,2.0,1.0,7,0.0,0.0,152.0,185.6,23.0,0.0,0.0,0.0,0.0,0.0,187.0,803.0,4.29,5.0,37.0,34.0,313.0,9.21,2.0,2.0,1.0,7.0,0.0,0.0,152.0,185.6
Kendrick Bourne,NWE,WR,26,17,5,1.0,1.0,25.0,1.0,0.0,12.0,125.0,10.42,0.0,70.0,55.0,800.0,14.55,5.0,1.0,1.0,5,0.0,0.0,126.0,180.5,26.0,1.0,1.0,25.0,1.0,0.0,12.0,125.0,10.42,0.0,70.0,55.0,800.0,14.55,5.0,1.0,1.0,5.0,0.0,0.0,126.0,180.5
Darrel Williams,KAN,RB,26,17,7,0.0,0.0,0.0,0.0,0.0,144.0,558.0,3.88,6.0,57.0,47.0,452.0,9.62,2.0,0.0,0.0,8,0.0,0.0,149.0,196.0,26.0,0.0,0.0,0.0,0.0,0.0,144.0,558.0,3.88,6.0,57.0,47.0,452.0,9.62,2.0,0.0,0.0,8.0,0.0,0.0,149.0,196.0
D'Andre Swift,DET,RB,22,13,4,0.0,1.0,0.0,0.0,0.0,151.0,617.0,4.09,5.0,78.0,62.0,452.0,7.29,2.0,2.0,1.0,7,0.0,0.0,147.0,208.9,25.157962495462087,0.0,1.1435437497937313,0.0,0.0,0.0,172.67510621885341,705.5664936227322,4.677093936656361,5.7177187489686565,89.19641248391103,70.89971248721133,516.8817749067665,8.3364339359963,2.2870874995874626,2.2870874995874626,1.1435437497937313,8.004806248556118,0.0,0.0,168.1009312196785,238.88628933191046
